county,cntyname,vtd,Voting District Name,2010 Tract,2010 census pop,alloc factor
42003,Allegheny PA,1180,CLAIRTON WD 02 DIST 01,4927,108,0.788
,,,,4928,29,0.212
42003,Allegheny PA,1187,420031187,4090,1552,1
42003,Allegheny PA,1188,420031188,4090,2297,1
42003,Allegheny PA,1189,420031189,4090,1678,1
42003,Allegheny PA,1190,CLAIRTON WD 02 DIST 02,4927,10,0.02
,,,,4928,496,0.98
42003,Allegheny PA,1191,420031191,4090,1292,1
42003,Allegheny PA,1200,CLAIRTON WD 02 DIST 03,4928,576,1
42003,Allegheny PA,1210,CLAIRTON WD 03 DIST 01*,4928,437,0.562
,,,,4929,341,0.438
42003,Allegheny PA,1220,CLAIRTON WD 03 DIST 02*,4928,205,0.369
,,,,4929,351,0.631
42003,Allegheny PA,1230,CLAIRTON WD 03 DIST 03,4929,746,1
42003,Allegheny PA,1240,CLAIRTON WD 04 DIST 01,4928,598,1
42003,Allegheny PA,1250,CLAIRTON WD 04 DIST 02,4928,428,1
42003,Allegheny PA,1260,CLAIRTON WD 04 DIST 03,4929,707,1
42003,Allegheny PA,1281,COLLIER TWP WD 01,4580,3315,1
42003,Allegheny PA,1290,COLLIER TWP WD 02,4580,1773,1
42003,Allegheny PA,1300,COLLIER TWP WD 03,4580,1373,1
42003,Allegheny PA,1320,COLLIER TWP WD 04,4580,619,1
42003,Allegheny PA,1331,CORAOPOLIS WD 01 DIST 01*,4508,774,1
42003,Allegheny PA,1341,CORAOPOLIS WD 01 DIST 02,4508,682,1
42003,Allegheny PA,1351,CORAOPOLIS WD 02 DIST 01,4507,301,0.25
,,,,4508,903,0.75
42003,Allegheny PA,1371,CORAOPOLIS WD 03 DIST 01,4507,600,0.768
,,,,4508,181,0.232
42003,Allegheny PA,1381,CORAOPOLIS WD 03 DIST 02,4507,805,1
42003,Allegheny PA,1390,CORAOPOLIS WD 04 DIST 01,4507,649,1
42003,Allegheny PA,1400,CORAOPOLIS WD 04 DIST 02*,4507,782,1
42003,Allegheny PA,1411,CRAFTON WD 01 DIST 01*,4656,379,0.283
,,,,4658,958,0.717
42003,Allegheny PA,1420,CRAFTON WD 01 DIST 02,4656,148,0.216
,,,,4658,536,0.784
42003,Allegheny PA,1440,CRAFTON WD 02 DIST 01,4656,851,0.998
,,,,4658,2,0.002
42003,Allegheny PA,1451,CRAFTON WD 02 DIST 02*,4656,995,0.988
,,,,4658,12,0.012
42003,Allegheny PA,1471,CRAFTON WD 03 DIST 01*,4658,1341,1
42003,Allegheny PA,1490,CRAFTON WD 03 DIST 02*,4658,729,1
42003,Allegheny PA,1500,CRESCENT TWP WD 01,4490,1564,1
42003,Allegheny PA,1510,CRESCENT TWP WD 02,4490,1076,1
42003,Allegheny PA,1520,DORMONT DIST 01*,4721,1091,1
42003,Allegheny PA,1541,DORMONT DIST 03*,4723,1306,1
42003,Allegheny PA,1550,DORMONT DIST 04*,4721,682,1
42003,Allegheny PA,1561,DORMONT DIST 05*,4721,751,0.526
,,,,4722,676,0.474
42003,Allegheny PA,1570,DORMONT DIST 06*,4723,708,1
42003,Allegheny PA,1580,DORMONT DIST 07*,4724,666,1
42003,Allegheny PA,1590,DORMONT DIST 08*,4724,507,1
42003,Allegheny PA,1600,DORMONT DIST 09*,4722,688,1
42003,Allegheny PA,1610,DORMONT DIST 10*,4722,863,1
42003,Allegheny PA,1630,DORMONT DIST 02*,4724,655,1
42003,Allegheny PA,1641,DRAVOSBURG DIST 01,4870,814,1
42003,Allegheny PA,1660,DRAVOSBURG DIST 03,4870,432,1
42003,Allegheny PA,1670,DRAVOSBURG DIST 02,4870,546,1
42003,Allegheny PA,1680,DUQUESNE WD 01 DIST 01*,4867,626,1
42003,Allegheny PA,1690,DUQUESNE WD 01 DIST 02*,4867,865,1
42003,Allegheny PA,1700,DUQUESNE WD 01 DIST 03,4867,438,1
42003,Allegheny PA,1710,DUQUESNE WD 01 DIST 04,4867,431,0.975
,,,,4868,11,0.025
42003,Allegheny PA,1730,DUQUESNE WD 02 DIST 01*,4868,455,1
42003,Allegheny PA,1740,DUQUESNE WD 02 DIST 02*,4868,701,0.989
,,,,4869,8,0.011
42003,Allegheny PA,1750,DUQUESNE WD 02 DIST 03*,4868,660,0.994
,,,,4869,4,0.006
42003,Allegheny PA,1770,DUQUESNE WD 03 DIST 01*,4869,282,1
42003,Allegheny PA,1780,DUQUESNE WD 03 DIST 02*,4869,280,1
42003,Allegheny PA,1790,DUQUESNE WD 03 DIST 03*,4869,804,1
42003,Allegheny PA,1811,EAST DEER TWP WD 01,4040,615,1
42003,Allegheny PA,1831,EAST DEER TWP WD 02,4040,885,1
42003,Allegheny PA,1850,EAST MCKEESPORT DIST 01,5070,661,1
42003,Allegheny PA,1860,EAST MCKEESPORT DIST 02,5070,729,1
42003,Allegheny PA,1870,EAST MCKEESPORT DIST 03*,5070,736,1
42003,Allegheny PA,1880,EAST PITTSBURGH WD 01,5100,416,1
42003,Allegheny PA,1890,EAST PITTSBURGH WD 02*,5100,722,1
42003,Allegheny PA,1901,EAST PITTSBURGH WD 03,5100,684,1
42003,Allegheny PA,1921,EDGEWOOD DIST 01*,5161,231,0.203
,,,,5162,908,0.797
42003,Allegheny PA,1931,EDGEWOOD DIST 02*,5161,248,0.233
,,,,5162,818,0.767
42003,Allegheny PA,1941,EDGEWOOD DIST 03*,5161,913,1
42003,Allegheny PA,1960,EDGEWORTH DIST 01*,4460,830,1
42003,Allegheny PA,1970,EDGEWORTH DIST 02*,4460,850,1
42003,Allegheny PA,1980,ELIZABETH TWP WD 01 DIST 01,4961.02,753,1
42003,Allegheny PA,1981,ELIZABETH TWP WD 01 DIST 02*,4961.02,242,1
42003,Allegheny PA,1990,ELIZABETH TWP WD 02,4962,1215,1
42003,Allegheny PA,2001,ELIZABETH TWP WD 03 DIST 02,4961.01,1667,0.812
,,,,4961.02,253,0.123
,,,,4962,134,0.065
42003,Allegheny PA,2010,ELIZABETH TWP WD 04 DIST 01,4962,1021,1
42003,Allegheny PA,2011,ELIZABETH TWP WD 04 DIST 02,4962,753,1
42003,Allegheny PA,2020,ELIZABETH TWP WD 05,4962,613,1
42003,Allegheny PA,2030,ELIZABETH TWP WD 06,4962,1764,1
42003,Allegheny PA,2040,ELIZABETH TWP WD 07,4961.02,1096,1
42003,Allegheny PA,2050,ELIZABETH TWP WD 08 DIST 01*,4961.01,489,0.61
,,,,4962,312,0.39
42003,Allegheny PA,2051,ELIZABETH TWP WD 08 DIST 02,4961.01,801,0.695
,,,,4961.02,352,0.305
42003,Allegheny PA,2060,ELIZABETH TWP WD 09*,4961.02,1806,1
42003,Allegheny PA,2071,ELIZABETH Voting District*,4940,1493,1
42003,Allegheny PA,2090,EMSWORTH DIST 01*,4350,1175,1
42003,Allegheny PA,2091,420032091,4110,921,1
42003,Allegheny PA,2100,EMSWORTH DIST 02*,4350,1274,1
42003,Allegheny PA,2111,ETNA WD 01*,4250,1320,1
42003,Allegheny PA,2131,ETNA WD 02*,4250,1137,1
42003,Allegheny PA,2150,ETNA WD 03*,4250,994,1
42003,Allegheny PA,2160,FAWN TWP VTD 01,4060,887,1
42003,Allegheny PA,2170,FAWN TWP VTD 02,4060,1489,1
42003,Allegheny PA,2180,FINDLAY TWP DIST 01,4520,1256,1
42003,Allegheny PA,2190,FINDLAY TWP DIST 02,4520,2182,1
42003,Allegheny PA,2200,FINDLAY TWP DIST 03*,4520,1622,1
42003,Allegheny PA,2211,FOREST HILLS DIST 01,5180.01,719,1
42003,Allegheny PA,2221,FOREST HILLS DIST 02*,5180.01,801,1
42003,Allegheny PA,2231,FOREST HILLS DIST 03*,5180.01,361,0.492
,,,,5639,372,0.508
42003,Allegheny PA,2240,FOREST HILLS DIST 04,5639,953,1
42003,Allegheny PA,2251,FOREST HILLS DIST 05*,5639,826,1
42003,Allegheny PA,2261,FOREST HILLS DIST 06,5180.01,661,1
42003,Allegheny PA,2268,FOREST HILLS DIST 07,5180.01,3,0.003
,,,,5639,976,0.997
42003,Allegheny PA,2274,FOREST HILLS DIST 08*,5180.01,846,1
42003,Allegheny PA,2280,FORWARD TWP DIST 01*,4950,1062,1
42003,Allegheny PA,2291,FORWARD TWP DIST 02*,4950,992,1
42003,Allegheny PA,2300,FORWARD TWP DIST 03*,4950,624,1
42003,Allegheny PA,2305,FORWARD TWP DIST 04*,4950,698,1
42003,Allegheny PA,2310,FOX CHAPEL DIST 01*,4220,1151,1
42003,Allegheny PA,2321,FOX CHAPEL DIST 02*,4220,1160,1
42003,Allegheny PA,2331,FOX CHAPEL DIST 03*,4220,767,1
42003,Allegheny PA,2338,FOX CHAPEL DIST 04*,4220,1337,1
42003,Allegheny PA,2344,FOX CHAPEL DIST 05*,4220,973,1
42003,Allegheny PA,2350,FRANKLIN PARK WD 01 DIST 01*,4120.01,1796,0.842
,,,,4120.02,338,0.158
42003,Allegheny PA,2351,FRANKLIN PARK WD 01 DIST 02*,4120.01,1673,1
42003,Allegheny PA,2352,FRANKLIN PARK WD 01 DIST 03*,4120.01,1363,1
