"county","vtd","tract","bg","cntyname","vtdname","pop10","afact","AFACT2"
"county","vtd","2010 Tract","bg","cntyname","Voting District Name","Total Pop, 2010 census","vtd to bg alloc factor","bg to vtd alloc factor"
"42003","596","4751.01","4","Allegheny PA","BETHEL PARK WD 08 DIST 02*",725,1,0.445 
"42003","602","4751.01","3","Allegheny PA","BETHEL PARK WD 08 DIST 04",406,0.778,0.312 
"42003","602","4751.01","4","Allegheny PA","BETHEL PARK WD 08 DIST 04",4,0.008,0.002 
"42003","602","4751.02","1","Allegheny PA","BETHEL PARK WD 08 DIST 04",112,0.215,0.067 
"42003","603","4751.02","1","Allegheny PA","BETHEL PARK WD 08 DIST 03",1335,1,0.802 
"42003","623","4752.00","4","Allegheny PA","BETHEL PARK WD 09 DIST 01",67,0.075,0.04 
"42003","623","4753.04","1","Allegheny PA","BETHEL PARK WD 09 DIST 01",822,0.925,0.72 
"42003","624","4752.00","4","Allegheny PA","BETHEL PARK WD 09 DIST 03*",76,0.042,0.046 
"42003","624","4753.04","1","Allegheny PA","BETHEL PARK WD 09 DIST 03*",76,0.042,0.067 
"42003","624","4753.04","2","Allegheny PA","BETHEL PARK WD 09 DIST 03*",1666,0.916,0.898 
"42003","625","4753.04","2","Allegheny PA","BETHEL PARK WD 09 DIST 02*",189,0.159,0.102 
"42003","625","4753.04","3","Allegheny PA","BETHEL PARK WD 09 DIST 02*",1001,0.841,1 
"42003","631","4200.00","1","Allegheny PA","BLAWNOX DIST 01*",1432,1,1 
"42003","650","4020.00","4","Allegheny PA","BRACKENRIDGE WD 01*",895,1,1 
"42003","660","4020.00","1","Allegheny PA","BRACKENRIDGE WD 02*",625,0.506,1 
"42003","660","4020.00","2","Allegheny PA","BRACKENRIDGE WD 02*",610,0.494,1 
"42003","670","4020.00","3","Allegheny PA","BRACKENRIDGE WD 03*",1130,1,1 
"42003","711","5138.00","1","Allegheny PA","BRADDOCK WD 01*",787,0.974,0.904 
"42003","711","5138.00","2","Allegheny PA","BRADDOCK WD 01*",21,0.026,0.023 
"42003","720","5138.00","1","Allegheny PA","BRADDOCK WD 02*",84,0.129,0.096 
"42003","720","5138.00","2","Allegheny PA","BRADDOCK WD 02*",352,0.542,0.393 
"42003","720","5138.00","3","Allegheny PA","BRADDOCK WD 02*",213,0.328,0.542 
"42003","721","5138.00","2","Allegheny PA","BRADDOCK WD 03*",522,0.744,0.583 
"42003","721","5138.00","3","Allegheny PA","BRADDOCK WD 03*",180,0.256,0.458 
"42003","750","5170.00","2","Allegheny PA","BRADDOCK HILLS DIST 01*",1188,1,0.966 
"42003","760","5170.00","1","Allegheny PA","BRADDOCK HILLS DIST 02*",650,0.939,1 
"42003","760","5170.00","2","Allegheny PA","BRADDOCK HILLS DIST 02*",42,0.061,0.034 
"42003","770","4100.00","1","Allegheny PA","BRADFORD WOODS Voting District*",1171,1,1 
"42003","781","4782.00","1","Allegheny PA","BRENTWOOD DIST 01*",642,0.858,0.454 
"42003","781","4782.00","2","Allegheny PA","BRENTWOOD DIST 01*",106,0.142,0.049 
"42003","791","4781.00","1","Allegheny PA","BRENTWOOD DIST 02",839,0.768,0.746 
"42003","791","4781.00","2","Allegheny PA","BRENTWOOD DIST 02",192,0.176,0.259 
"42003","791","4781.00","4","Allegheny PA","BRENTWOOD DIST 02",62,0.057,0.062 
"42003","801","4782.00","2","Allegheny PA","BRENTWOOD DIST 03*",694,0.745,0.323 
"42003","801","4782.00","3","Allegheny PA","BRENTWOOD DIST 03*",237,0.255,0.115 
"42003","811","4782.00","2","Allegheny PA","BRENTWOOD DIST 04*",559,0.456,0.26 
"42003","811","4782.00","3","Allegheny PA","BRENTWOOD DIST 04*",666,0.544,0.322 
"42003","821","4782.00","3","Allegheny PA","BRENTWOOD DIST 05*",1132,1,0.548 
"42003","831","4781.00","1","Allegheny PA","BRENTWOOD DIST 06",286,0.314,0.254 
"42003","831","4781.00","4","Allegheny PA","BRENTWOOD DIST 06",626,0.686,0.63 
"42003","841","4781.00","2","Allegheny PA","BRENTWOOD DIST 07*",549,0.535,0.741 
"42003","841","4781.00","3","Allegheny PA","BRENTWOOD DIST 07*",173,0.168,0.15 
"42003","841","4781.00","4","Allegheny PA","BRENTWOOD DIST 07*",305,0.297,0.307 
"42003","851","4781.00","3","Allegheny PA","BRENTWOOD DIST 08*",983,1,0.85 
