"county","vtd","cntyname","vtdname","pop10","afact","AFACT2"
"county","vtd","cntyname","Voting District Name","Total Pop, 2010 census","vtd to vtd alloc factor","vtd to vtd alloc factor"
"42003","1073","Allegheny PA","CASTLE SHANNON DIST 08",686,1,1 
"42003","1080","Allegheny PA","CHALFANT Voting District*",800,1,1 
"42003","1091","Allegheny PA","CHESWICK DIST 01*",876,1,1 
"42003","1101","Allegheny PA","CHESWICK DIST 02*",870,1,1 
"42003","1110","Allegheny PA","CHURCHILL DIST 01*",731,1,1 
"42003","1120","Allegheny PA","CHURCHILL DIST 02",759,1,1 
"42003","1130","Allegheny PA","CHURCHILL DIST 03",762,1,1 
"42003","1140","Allegheny PA","CHURCHILL DIST 04",759,1,1 
"42003","1150","Allegheny PA","CLAIRTON WD 01 DIST 01",560,1,1 
"42003","1160","Allegheny PA","CLAIRTON WD 01 DIST 02",653,1,1 
"42003","1170","Allegheny PA","CLAIRTON WD 01 DIST 03",551,1,1 
"42003","1180","Allegheny PA","CLAIRTON WD 02 DIST 01",137,1,1 
"42003","1187","Allegheny PA","420031187",1552,1,1 
"42003","1188","Allegheny PA","420031188",2297,1,1 
"42003","1189","Allegheny PA","420031189",1678,1,1 
"42003","1190","Allegheny PA","CLAIRTON WD 02 DIST 02",506,1,1 
"42003","1191","Allegheny PA","420031191",1292,1,1 
"42003","1200","Allegheny PA","CLAIRTON WD 02 DIST 03",576,1,1 
"42003","1210","Allegheny PA","CLAIRTON WD 03 DIST 01*",778,1,1 
"42003","1220","Allegheny PA","CLAIRTON WD 03 DIST 02*",556,1,1 
"42003","1230","Allegheny PA","CLAIRTON WD 03 DIST 03",746,1,1 
"42003","1240","Allegheny PA","CLAIRTON WD 04 DIST 01",598,1,1 
"42003","1250","Allegheny PA","CLAIRTON WD 04 DIST 02",428,1,1 
"42003","1260","Allegheny PA","CLAIRTON WD 04 DIST 03",707,1,1 
"42003","1281","Allegheny PA","COLLIER TWP WD 01",3315,1,1 
"42003","1290","Allegheny PA","COLLIER TWP WD 02",1773,1,1 
"42003","1300","Allegheny PA","COLLIER TWP WD 03",1373,1,1 
"42003","1320","Allegheny PA","COLLIER TWP WD 04",619,1,1 
"42003","1331","Allegheny PA","CORAOPOLIS WD 01 DIST 01*",774,1,1 
"42003","1341","Allegheny PA","CORAOPOLIS WD 01 DIST 02",682,1,1 
"42003","1351","Allegheny PA","CORAOPOLIS WD 02 DIST 01",1204,1,1 
"42003","1371","Allegheny PA","CORAOPOLIS WD 03 DIST 01",781,1,1 
"42003","1381","Allegheny PA","CORAOPOLIS WD 03 DIST 02",805,1,1 
"42003","1390","Allegheny PA","CORAOPOLIS WD 04 DIST 01",649,1,1 
"42003","1400","Allegheny PA","CORAOPOLIS WD 04 DIST 02*",782,1,1 
"42003","1411","Allegheny PA","CRAFTON WD 01 DIST 01*",1337,1,1 
"42003","1420","Allegheny PA","CRAFTON WD 01 DIST 02",684,1,1 
"42003","1440","Allegheny PA","CRAFTON WD 02 DIST 01",853,1,1 
"42003","1451","Allegheny PA","CRAFTON WD 02 DIST 02*",1007,1,1 
"42003","1471","Allegheny PA","CRAFTON WD 03 DIST 01*",1341,1,1 
"42003","1490","Allegheny PA","CRAFTON WD 03 DIST 02*",729,1,1 
"42003","1500","Allegheny PA","CRESCENT TWP WD 01",1564,1,1 
"42003","1510","Allegheny PA","CRESCENT TWP WD 02",1076,1,1 
"42003","1520","Allegheny PA","DORMONT DIST 01*",1091,1,1 
"42003","1541","Allegheny PA","DORMONT DIST 03*",1306,1,1 
"42003","1550","Allegheny PA","DORMONT DIST 04*",682,1,1 
"42003","1561","Allegheny PA","DORMONT DIST 05*",1427,1,1 
"42003","1570","Allegheny PA","DORMONT DIST 06*",708,1,1 
"42003","1580","Allegheny PA","DORMONT DIST 07*",666,1,1 
"42003","1590","Allegheny PA","DORMONT DIST 08*",507,1,1 
"42003","1600","Allegheny PA","DORMONT DIST 09*",688,1,1 
"42003","1610","Allegheny PA","DORMONT DIST 10*",863,1,1 
